timestamp,kwh
2024-01-01 00:00:00,58.065
2024-01-01 01:00:00,44.874
2024-01-01 02:00:00,59.018
2024-01-01 03:00:00,65.953
2024-01-01 04:00:00,78.156
2024-01-01 05:00:00,98.546
2024-01-01 06:00:00,125.163
2024-01-01 07:00:00,147.757
2024-01-01 08:00:00,176.118
2024-01-01 09:00:00,183.862
2024-01-01 10:00:00,217.743
2024-01-01 11:00:00,185.809
2024-01-01 12:00:00,245.73
2024-01-01 13:00:00,170.884
2024-01-01 14:00:00,216.546
2024-01-01 15:00:00,183.718
2024-01-01 16:00:00,177.497
2024-01-01 17:00:00,131.951
2024-01-01 18:00:00,117.295
2024-01-01 19:00:00,126.244
2024-01-01 20:00:00,110.874
2024-01-01 21:00:00,71.074
2024-01-01 22:00:00,69.015
2024-01-01 23:00:00,64.534
2024-01-02 00:00:00,61.785
2024-01-02 01:00:00,46.779
2024-01-02 02:00:00,52.269
2024-01-02 03:00:00,66.662
2024-01-02 04:00:00,107.508
2024-01-02 05:00:00,94.583
2024-01-02 06:00:00,129.195
2024-01-02 07:00:00,182.349
2024-01-02 08:00:00,175.726
2024-01-02 09:00:00,204.586
2024-01-02 10:00:00,187.764
2024-01-02 11:00:00,226.439
2024-01-02 12:00:00,242.017
2024-01-02 13:00:00,170.117
2024-01-02 14:00:00,223.007
2024-01-02 15:00:00,227.157
2024-01-02 16:00:00,190.641
2024-01-02 17:00:00,140.586
2024-01-02 18:00:00,148.841
2024-01-02 19:00:00,94.803
2024-01-02 20:00:00,91.437
2024-01-02 21:00:00,89.359
2024-01-02 22:00:00,58.795
2024-01-02 23:00:00,51.328
2024-01-03 00:00:00,45.465
2024-01-03 01:00:00,45.306
2024-01-03 02:00:00,68.67
2024-01-03 03:00:00,67.946
2024-01-03 04:00:00,84.625
2024-01-03 05:00:00,112.308
2024-01-03 06:00:00,109.571
2024-01-03 07:00:00,158.69
2024-01-03 08:00:00,148.919
2024-01-03 09:00:00,196.79
2024-01-03 10:00:00,218.922
2024-01-03 11:00:00,177.201
2024-01-03 12:00:00,206.109
2024-01-03 13:00:00,227.105
2024-01-03 14:00:00,195.764
2024-01-03 15:00:00,155.799
2024-01-03 16:00:00,175.916
2024-01-03 17:00:00,164.219
2024-01-03 18:00:00,134.199
2024-01-03 19:00:00,132.728
2024-01-03 20:00:00,96.616
2024-01-03 21:00:00,89.199
2024-01-03 22:00:00,54.792
2024-01-03 23:00:00,47.996
2024-01-04 00:00:00,59.923
2024-01-04 01:00:00,53.793
2024-01-04 02:00:00,55.507
2024-01-04 03:00:00,89.94
2024-01-04 04:00:00,87.697
2024-01-04 05:00:00,754.971
2024-01-04 06:00:00,145.464
2024-01-04 07:00:00,177.751
2024-01-04 08:00:00,182.005
2024-01-04 09:00:00,209.075
2024-01-04 10:00:00,190.471
2024-01-04 11:00:00,191.327
2024-01-04 12:00:00,247.247
2024-01-04 13:00:00,204.659
2024-01-04 14:00:00,240.417
2024-01-04 15:00:00,202.425
2024-01-04 16:00:00,181.868
2024-01-04 17:00:00,130.371
2024-01-04 18:00:00,157.39
2024-01-04 19:00:00,110.43
2024-01-04 20:00:00,96.311
2024-01-04 21:00:00,73.983
2024-01-04 22:00:00,57.344
2024-01-04 23:00:00,65.139
2024-01-05 00:00:00,54.934
2024-01-05 01:00:00,44.936
2024-01-05 02:00:00,67.088
2024-01-05 03:00:00,71.48
2024-01-05 04:00:00,94.394
2024-01-05 05:00:00,130.084
2024-01-05 06:00:00,125.788
2024-01-05 07:00:00,179.306
2024-01-05 08:00:00,181.983
2024-01-05 09:00:00,153.205
2024-01-05 10:00:00,237.546
2024-01-05 11:00:00,226.81
2024-01-05 12:00:00,255.908
2024-01-05 13:00:00,183.102
2024-01-05 14:00:00,173.299
2024-01-05 15:00:00,222.881
2024-01-05 16:00:00,187.079
2024-01-05 17:00:00,127.366
2024-01-05 18:00:00,147.036
2024-01-05 19:00:00,124.131
2024-01-05 20:00:00,109.184
2024-01-05 21:00:00,83.304
2024-01-05 22:00:00,54.454
2024-01-05 23:00:00,45.317
2024-01-06 00:00:00,43.249
2024-01-06 01:00:00,45.506
2024-01-06 02:00:00,57.58
2024-01-06 03:00:00,87.867
2024-01-06 04:00:00,94.834
2024-01-06 05:00:00,115.069
2024-01-06 06:00:00,151.656
2024-01-06 07:00:00,130.952
2024-01-06 08:00:00,158.108
2024-01-06 09:00:00,196.521
2024-01-06 10:00:00,240.803
2024-01-06 11:00:00,215.864
2024-01-06 12:00:00,172.35
2024-01-06 13:00:00,236.059
2024-01-06 14:00:00,181.07
2024-01-06 15:00:00,213.343
2024-01-06 16:00:00,165.647
2024-01-06 17:00:00,176.533
2024-01-06 18:00:00,146.591
2024-01-06 19:00:00,115.223
2024-01-06 20:00:00,79.804
2024-01-06 21:00:00,63.285
2024-01-06 22:00:00,54.379
2024-01-06 23:00:00,45.871
2024-01-07 00:00:00,44.984
2024-01-07 01:00:00,49.935
2024-01-07 02:00:00,69.545
2024-01-07 03:00:00,78.64
2024-01-07 04:00:00,75.175
2024-01-07 05:00:00,93.395
2024-01-07 06:00:00,158.339
2024-01-07 07:00:00,158.319
2024-01-07 08:00:00,152.843
2024-01-07 09:00:00,171.18
2024-01-07 10:00:00,222.495
2024-01-07 11:00:00,185.048
2024-01-07 12:00:00,220.393
2024-01-07 13:00:00,250.337
2024-01-07 14:00:00,230.847
2024-01-07 15:00:00,170.231
2024-01-07 16:00:00,172.994
2024-01-07 17:00:00,161.516
2024-01-07 18:00:00,150.959
2024-01-07 19:00:00,97.218
2024-01-07 20:00:00,75.4
2024-01-07 21:00:00,63.596
2024-01-07 22:00:00,63.735
2024-01-07 23:00:00,58.475
2024-01-08 00:00:00,54.831
2024-01-08 01:00:00,51.992
2024-01-08 02:00:00,76.611
2024-01-08 03:00:00,79.256
2024-01-08 04:00:00,88.906
2024-01-08 05:00:00,114.984
2024-01-08 06:00:00,146.496
2024-01-08 07:00:00,164.554
2024-01-08 08:00:00,157.118
2024-01-08 09:00:00,157.044
2024-01-08 10:00:00,192.189
2024-01-08 11:00:00,221.653
2024-01-08 12:00:00,188.702
2024-01-08 13:00:00,232.024
2024-01-08 14:00:00,167.574
2024-01-08 15:00:00,171.787
2024-01-08 16:00:00,194.567
2024-01-08 17:00:00,135.222
2024-01-08 18:00:00,140.846
2024-01-08 19:00:00,113.8
2024-01-08 20:00:00,109.251
2024-01-08 21:00:00,69.534
2024-01-08 22:00:00,52.959
2024-01-08 23:00:00,61.363
2024-01-09 00:00:00,59.171
2024-01-09 01:00:00,65.239
2024-01-09 02:00:00,75.159
2024-01-09 03:00:00,61.873
2024-01-09 04:00:00,83.461
2024-01-09 05:00:00,117.952
2024-01-09 06:00:00,157.365
2024-01-09 07:00:00,181.874
2024-01-09 08:00:00,177.356
2024-01-09 09:00:00,221.59
2024-01-09 10:00:00,214.203
2024-01-09 11:00:00,201.449
2024-01-09 12:00:00,212.251
2024-01-09 13:00:00,219.512
2024-01-09 14:00:00,206.741
2024-01-09 15:00:00,222.393
2024-01-09 16:00:00,202.473
2024-01-09 17:00:00,147.64
2024-01-09 18:00:00,158.125
2024-01-09 19:00:00,97.991
2024-01-09 20:00:00,79.425
2024-01-09 21:00:00,65.595
2024-01-09 22:00:00,64.231
2024-01-09 23:00:00,45.354
2024-01-10 00:00:00,62.924
2024-01-10 01:00:00,63.428
2024-01-10 02:00:00,51.653
2024-01-10 03:00:00,66.858
2024-01-10 04:00:00,87.11
2024-01-10 05:00:00,96.055
2024-01-10 06:00:00,149.919
2024-01-10 07:00:00,144.549
2024-01-10 08:00:00,203.956
2024-01-10 09:00:00,196.236
2024-01-10 10:00:00,233.443
2024-01-10 11:00:00,239.777
2024-01-10 12:00:00,248.059
2024-01-10 13:00:00,207.338
2024-01-10 14:00:00,206.482
2024-01-10 15:00:00,212.697
2024-01-10 16:00:00,158.561
2024-01-10 17:00:00,153.52
2024-01-10 18:00:00,138.693
2024-01-10 19:00:00,90.85
2024-01-10 20:00:00,96.875
2024-01-10 21:00:00,74.768
2024-01-10 22:00:00,71.964
2024-01-10 23:00:00,51.944
2024-01-11 00:00:00,61.748
2024-01-11 01:00:00,57.836
2024-01-11 02:00:00,55.985
2024-01-11 03:00:00,85.652
2024-01-11 04:00:00,97.568
2024-01-11 05:00:00,92.58
2024-01-11 06:00:00,129.146
2024-01-11 07:00:00,165.16
2024-01-11 08:00:00,202.464
2024-01-11 09:00:00,152.033
2024-01-11 10:00:00,241.383
2024-01-11 11:00:00,200.317
2024-01-11 12:00:00,253.898
2024-01-11 13:00:00,219.546
2024-01-11 14:00:00,229.389
2024-01-11 15:00:00,195.681
2024-01-11 16:00:00,182.31
2024-01-11 17:00:00,140.902
2024-01-11 18:00:00,138.038
2024-01-11 19:00:00,123.958
2024-01-11 20:00:00,106.767
2024-01-11 21:00:00,84.642
2024-01-11 22:00:00,69.162
2024-01-11 23:00:00,64.266
2024-01-12 00:00:00,49.577
2024-01-12 01:00:00,59.921
2024-01-12 02:00:00,62.826
2024-01-12 03:00:00,73.184
2024-01-12 04:00:00,90.052
2024-01-12 05:00:00,108.247
2024-01-12 06:00:00,123.66
2024-01-12 07:00:00,161.637
2024-01-12 08:00:00,168.587
2024-01-12 09:00:00,226.013
2024-01-12 10:00:00,217.141
2024-01-12 11:00:00,185.313
2024-01-12 12:00:00,207.189
2024-01-12 13:00:00,197.516
2024-01-12 14:00:00,226.859
2024-01-12 15:00:00,218.883
2024-01-12 16:00:00,201.44
2024-01-12 17:00:00,164.152
2024-01-12 18:00:00,121.142
2024-01-12 19:00:00,101.526
2024-01-12 20:00:00,106.64
2024-01-12 21:00:00,77.657
2024-01-12 22:00:00,71.831
2024-01-12 23:00:00,57.715
2024-01-13 00:00:00,58.338
2024-01-13 01:00:00,56.516
2024-01-13 02:00:00,71.029
2024-01-13 03:00:00,78.921
2024-01-13 04:00:00,92.102
2024-01-13 05:00:00,105.597
2024-01-13 06:00:00,110.363
2024-01-13 07:00:00,146.595
2024-01-13 08:00:00,144.264
2024-01-13 09:00:00,226.698
2024-01-13 10:00:00,176.906
2024-01-13 11:00:00,237.006
2024-01-13 12:00:00,245.461
2024-01-13 13:00:00,226.601
2024-01-13 14:00:00,208.359
2024-01-13 15:00:00,164.237
2024-01-13 16:00:00,171.128
2024-01-13 17:00:00,144.576
2024-01-13 18:00:00,118.732
2024-01-13 19:00:00,116.858
2024-01-13 20:00:00,86.371
2024-01-13 21:00:00,89.596
2024-01-13 22:00:00,74.586
2024-01-13 23:00:00,445.203
2024-01-14 00:00:00,45.056
2024-01-14 01:00:00,49.201
2024-01-14 02:00:00,64.075
2024-01-14 03:00:00,83.828
2024-01-14 04:00:00,82.483
2024-01-14 05:00:00,101.33
2024-01-14 06:00:00,152.17
2024-01-14 07:00:00,148.933
2024-01-14 08:00:00,181.52
2024-01-14 09:00:00,169.761
2024-01-14 10:00:00,170.447
2024-01-14 11:00:00,212.056
2024-01-14 12:00:00,852.573
2024-01-14 13:00:00,181.444
2024-01-14 14:00:00,212.601
2024-01-14 15:00:00,193.348
2024-01-14 16:00:00,184.118
2024-01-14 17:00:00,132.208
2024-01-14 18:00:00,146.826
2024-01-14 19:00:00,100.159
2024-01-14 20:00:00,94.106
2024-01-14 21:00:00,85.571
2024-01-14 22:00:00,51.841
2024-01-14 23:00:00,52.149
2024-01-15 00:00:00,61.322
2024-01-15 01:00:00,63.823
2024-01-15 02:00:00,65.071
2024-01-15 03:00:00,88.069
2024-01-15 04:00:00,110.185
2024-01-15 05:00:00,127.401
2024-01-15 06:00:00,152.301
2024-01-15 07:00:00,129.384
2024-01-15 08:00:00,183.922
2024-01-15 09:00:00,205.471
2024-01-15 10:00:00,211.663
2024-01-15 11:00:00,235.974
2024-01-15 12:00:00,173.709
2024-01-15 13:00:00,233.497
2024-01-15 14:00:00,221.514
2024-01-15 15:00:00,171.74
2024-01-15 16:00:00,156.574
2024-01-15 17:00:00,162.277
2024-01-15 18:00:00,125.149
2024-01-15 19:00:00,126.057
2024-01-15 20:00:00,91.371
2024-01-15 21:00:00,85.492
2024-01-15 22:00:00,76.658
2024-01-15 23:00:00,51.608
2024-01-16 00:00:00,45.742
2024-01-16 01:00:00,65.093
2024-01-16 02:00:00,65.151
2024-01-16 03:00:00,91.391
2024-01-16 04:00:00,98.486
