timestamp,kwh
2024-01-01 00:00:00,69.398
2024-01-01 01:00:00,61.706
2024-01-01 02:00:00,77.271
2024-01-01 03:00:00,106.703
2024-01-01 04:00:00,129.883
2024-01-01 05:00:00,115.027
2024-01-01 06:00:00,141.404
2024-01-01 07:00:00,151.834
2024-01-01 08:00:00,203.278
2024-01-01 09:00:00,185.214
2024-01-01 10:00:00,239.179
2024-01-01 11:00:00,268.073
2024-01-01 12:00:00,233.55
2024-01-01 13:00:00,270.817
2024-01-01 14:00:00,252.227
2024-01-01 15:00:00,184.676
2024-01-01 16:00:00,213.109
2024-01-01 17:00:00,167.213
2024-01-01 18:00:00,154.721
2024-01-01 19:00:00,123.574
2024-01-01 20:00:00,120.773
2024-01-01 21:00:00,90.013
2024-01-01 22:00:00,66.378
2024-01-01 23:00:00,68.541
2024-01-02 00:00:00,71.247
2024-01-02 01:00:00,62.123
2024-01-02 02:00:00,68.381
2024-01-02 03:00:00,88.078
2024-01-02 04:00:00,131.681
2024-01-02 05:00:00,161.047
2024-01-02 06:00:00,171.203
2024-01-02 07:00:00,214.846
2024-01-02 08:00:00,237.003
2024-01-02 09:00:00,216.977
2024-01-02 10:00:00,203.682
2024-01-02 11:00:00,268.505
2024-01-02 12:00:00,262.184
2024-01-02 13:00:00,238.972
2024-01-02 14:00:00,216.614
2024-01-02 15:00:00,219.58
2024-01-02 16:00:00,205.621
2024-01-02 17:00:00,167.952
2024-01-02 18:00:00,146.821
2024-01-02 19:00:00,132.998
2024-01-02 20:00:00,128.28
2024-01-02 21:00:00,95.391
2024-01-02 22:00:00,70.275
2024-01-02 23:00:00,61.358
2024-01-03 00:00:00,62.901
2024-01-03 01:00:00,59.403
2024-01-03 02:00:00,67.748
2024-01-03 03:00:00,92.727
2024-01-03 04:00:00,93.601
2024-01-03 05:00:00,134.4
2024-01-03 06:00:00,151.33
2024-01-03 07:00:00,200.402
2024-01-03 08:00:00,228.757
2024-01-03 09:00:00,245.546
2024-01-03 10:00:00,261.798
2024-01-03 11:00:00,240.19
2024-01-03 12:00:00,273.49
2024-01-03 13:00:00,236.775
2024-01-03 14:00:00,250.468
2024-01-03 15:00:00,212.216
2024-01-03 16:00:00,203.639
2024-01-03 17:00:00,152.579
2024-01-03 18:00:00,143.674
2024-01-03 19:00:00,160.809
2024-01-03 20:00:00,100.03
2024-01-03 21:00:00,99.272
2024-01-03 22:00:00,81.569
2024-01-03 23:00:00,73.37
2024-01-04 00:00:00,63.425
2024-01-04 01:00:00,69.942
2024-01-04 02:00:00,63.612
2024-01-04 03:00:00,76.444
2024-01-04 04:00:00,98.612
2024-01-04 05:00:00,116.449
2024-01-04 06:00:00,134.541
2024-01-04 07:00:00,157.594
2024-01-04 08:00:00,212.645
2024-01-04 09:00:00,199.625
2024-01-04 10:00:00,287.394
2024-01-04 11:00:00,271.359
2024-01-04 12:00:00,260.46
2024-01-04 13:00:00,273.946
2024-01-04 14:00:00,220.395
2024-01-04 15:00:00,267.046
2024-01-04 16:00:00,236.456
2024-01-04 17:00:00,201.781
2024-01-04 18:00:00,158.894
2024-01-04 19:00:00,153.801
2024-01-04 20:00:00,123.088
2024-01-04 21:00:00,98.123
2024-01-04 22:00:00,89.678
2024-01-04 23:00:00,70.939
2024-01-05 00:00:00,60.628
2024-01-05 01:00:00,68.762
2024-01-05 02:00:00,67.594
2024-01-05 03:00:00,80.852
2024-01-05 04:00:00,122.232
2024-01-05 05:00:00,150.708
2024-01-05 06:00:00,190.404
2024-01-05 07:00:00,211.007
2024-01-05 08:00:00,211.838
2024-01-05 09:00:00,190.68
2024-01-05 10:00:00,242.298
2024-01-05 11:00:00,296.285
2024-01-05 12:00:00,285.737
2024-01-05 13:00:00,251.473
2024-01-05 14:00:00,239.027
2024-01-05 15:00:00,202.377
2024-01-05 16:00:00,181.325
2024-01-05 17:00:00,153.474
2024-01-05 18:00:00,185.298
2024-01-05 19:00:00,142.874
2024-01-05 20:00:00,96.117
2024-01-05 21:00:00,89.042
2024-01-05 22:00:00,63.062
2024-01-05 23:00:00,59.51
2024-01-06 00:00:00,69.976
2024-01-06 01:00:00,71.409
2024-01-06 02:00:00,76.291
2024-01-06 03:00:00,83.903
2024-01-06 04:00:00,118.938
2024-01-06 05:00:00,159.989
2024-01-06 06:00:00,156.029
2024-01-06 07:00:00,153.215
2024-01-06 08:00:00,171.374
2024-01-06 09:00:00,190.049
2024-01-06 10:00:00,288.135
2024-01-06 11:00:00,257.106
2024-01-06 12:00:00,290.846
2024-01-06 13:00:00,219.591
2024-01-06 14:00:00,220.05
2024-01-06 15:00:00,245.626
2024-01-06 16:00:00,241.152
2024-01-06 17:00:00,173.24
2024-01-06 18:00:00,132.271
2024-01-06 19:00:00,154.993
2024-01-06 20:00:00,102.733
2024-01-06 21:00:00,101.102
2024-01-06 22:00:00,66.414
2024-01-06 23:00:00,72.59
2024-01-07 00:00:00,72.813
2024-01-07 01:00:00,73.457
2024-01-07 02:00:00,72.602
2024-01-07 03:00:00,100.571
2024-01-07 04:00:00,95.944
2024-01-07 05:00:00,125.213
2024-01-07 06:00:00,155.008
2024-01-07 07:00:00,212.949
2024-01-07 08:00:00,179.37
2024-01-07 09:00:00,262.794
2024-01-07 10:00:00,272.486
2024-01-07 11:00:00,300.706
2024-01-07 12:00:00,242.695
2024-01-07 13:00:00,223.123
2024-01-07 14:00:00,218.125
2024-01-07 15:00:00,258.025
2024-01-07 16:00:00,246.953
2024-01-07 17:00:00,199.745
2024-01-07 18:00:00,159.038
2024-01-07 19:00:00,123.764
2024-01-07 20:00:00,127.076
2024-01-07 21:00:00,105.937
2024-01-07 22:00:00,64.386
2024-01-07 23:00:00,59.687
2024-01-08 00:00:00,72.565
2024-01-08 01:00:00,76.72
2024-01-08 02:00:00,71.234
2024-01-08 03:00:00,84.069
2024-01-08 04:00:00,109.009
2024-01-08 05:00:00,137.423
2024-01-08 06:00:00,134.25
2024-01-08 07:00:00,209.967
2024-01-08 08:00:00,211.1
2024-01-08 09:00:00,253.199
2024-01-08 10:00:00,217.177
2024-01-08 11:00:00,300.065
2024-01-08 12:00:00,281.986
2024-01-08 13:00:00,237.103
2024-01-08 14:00:00,287.046
2024-01-08 15:00:00,246.405
2024-01-08 16:00:00,236.57
2024-01-08 17:00:00,151.392
2024-01-08 18:00:00,131.692
2024-01-08 19:00:00,148.424
2024-01-08 20:00:00,103.353
2024-01-08 21:00:00,92.829
2024-01-08 22:00:00,66.36
2024-01-08 23:00:00,80.212
2024-01-09 00:00:00,64.134
2024-01-09 01:00:00,76.2
2024-01-09 02:00:00,63.829
2024-01-09 03:00:00,91.432
2024-01-09 04:00:00,92.482
2024-01-09 05:00:00,156.081
2024-01-09 06:00:00,156.688
2024-01-09 07:00:00,153.098
2024-01-09 08:00:00,172.937
2024-01-09 09:00:00,231.649
2024-01-09 10:00:00,202.061
2024-01-09 11:00:00,220.981
2024-01-09 12:00:00,249.732
2024-01-09 13:00:00,252.757
2024-01-09 14:00:00,251.492
2024-01-09 15:00:00,239.106
2024-01-09 16:00:00,197.615
2024-01-09 17:00:00,193.819
2024-01-09 18:00:00,138.201
2024-01-09 19:00:00,123.14
2024-01-09 20:00:00,125.508
2024-01-09 21:00:00,79.414
2024-01-09 22:00:00,68.423
2024-01-09 23:00:00,60.415
2024-01-10 00:00:00,927.647
2024-01-10 01:00:00,53.891
2024-01-10 02:00:00,62.483
2024-01-10 03:00:00,90.791
2024-01-10 04:00:00,96.978
2024-01-10 05:00:00,145.002
2024-01-10 06:00:00,179.072
2024-01-10 07:00:00,190.816
2024-01-10 08:00:00,224.428
2024-01-10 09:00:00,218.16
2024-01-10 10:00:00,199.212
2024-01-10 11:00:00,246.851
2024-01-10 12:00:00,243.133
2024-01-10 13:00:00,262.797
2024-01-10 14:00:00,207.771
2024-01-10 15:00:00,203.265
2024-01-10 16:00:00,234.423
2024-01-10 17:00:00,167.588
2024-01-10 18:00:00,154.414
2024-01-10 19:00:00,158.881
2024-01-10 20:00:00,102.046
2024-01-10 21:00:00,79.127
2024-01-10 22:00:00,83.155
2024-01-10 23:00:00,69.145
2024-01-11 00:00:00,66.923
2024-01-11 01:00:00,55.003
