timestamp,kwh
2024-01-01 00:00:00,99.202
2024-01-01 01:00:00,121.688
2024-01-01 02:00:00,126.976
2024-01-01 03:00:00,151.221
2024-01-01 04:00:00,151.035
2024-01-01 05:00:00,244.777
2024-01-01 06:00:00,195.331
2024-01-01 07:00:00,253.42
2024-01-01 08:00:00,308.174
2024-01-01 09:00:00,385.416
2024-01-01 10:00:00,325.155
2024-01-01 11:00:00,440.298
2024-01-01 12:00:00,464.754
2024-01-01 13:00:00,332.776
2024-01-01 14:00:00,384.284
2024-01-01 15:00:00,278.586
2024-01-01 16:00:00,302.071
2024-01-01 17:00:00,229.931
2024-01-01 18:00:00,287.867
2024-01-01 19:00:00,200.356
2024-01-01 20:00:00,200.984
2024-01-01 21:00:00,156.186
2024-01-01 22:00:00,134.06
2024-01-01 23:00:00,88.96
2024-01-02 00:00:00,80.809
2024-01-02 01:00:00,106.463
2024-01-02 02:00:00,101.399
2024-01-02 03:00:00,153.22
2024-01-02 04:00:00,164.144
2024-01-02 05:00:00,207.902
2024-01-02 06:00:00,286.009
2024-01-02 07:00:00,283.645
2024-01-02 08:00:00,266.836
2024-01-02 09:00:00,299.28
2024-01-02 10:00:00,376.571
2024-01-02 11:00:00,388.226
2024-01-02 12:00:00,410.886
2024-01-02 13:00:00,369.324
2024-01-02 14:00:00,392.048
2024-01-02 15:00:00,332.378
2024-01-02 16:00:00,332.112
2024-01-02 17:00:00,311.283
2024-01-02 18:00:00,212.15
2024-01-02 19:00:00,195.374
2024-01-02 20:00:00,170.557
2024-01-02 21:00:00,150.601
2024-01-02 22:00:00,105.408
2024-01-02 23:00:00,104.58
2024-01-03 00:00:00,102.228
2024-01-03 01:00:00,118.529
2024-01-03 02:00:00,110.514
2024-01-03 03:00:00,147.848
2024-01-03 04:00:00,149.355
2024-01-03 05:00:00,205.426
2024-01-03 06:00:00,212.488
2024-01-03 07:00:00,328.265
2024-01-03 08:00:00,307.798
2024-01-03 09:00:00,392.461
2024-01-03 10:00:00,357.57
2024-01-03 11:00:00,446.707
2024-01-03 12:00:00,374.623
2024-01-03 13:00:00,358.51
2024-01-03 14:00:00,380.557
2024-01-03 15:00:00,394.577
2024-01-03 16:00:00,362.122
2024-01-03 17:00:00,291.968
2024-01-03 18:00:00,202.968
2024-01-03 19:00:00,213.607
2024-01-03 20:00:00,153.036
2024-01-03 21:00:00,153.176
2024-01-03 22:00:00,135.387
2024-01-03 23:00:00,102.942
2024-01-04 00:00:00,101.396
2024-01-04 01:00:00,84.535
2024-01-04 02:00:00,118.803
2024-01-04 03:00:00,119.352
2024-01-04 04:00:00,178.192
2024-01-04 05:00:00,194.393
2024-01-04 06:00:00,269.476
2024-01-04 07:00:00,230.423
2024-01-04 08:00:00,267.042
2024-01-04 09:00:00,372.193
2024-01-04 10:00:00,372.051
2024-01-04 11:00:00,395.491
2024-01-04 12:00:00,442.992
2024-01-04 13:00:00,382.587
2024-01-04 14:00:00,415.77
2024-01-04 15:00:00,348.095
2024-01-04 16:00:00,370.438
2024-01-04 17:00:00,299.981
2024-01-04 18:00:00,209.205
2024-01-04 19:00:00,194.468
2024-01-04 20:00:00,195.313
2024-01-04 21:00:00,131.745
2024-01-04 22:00:00,102.384
2024-01-04 23:00:00,101.218
2024-01-05 00:00:00,93.187
2024-01-05 01:00:00,107.207
2024-01-05 02:00:00,113.971
2024-01-05 03:00:00,126.736
2024-01-05 04:00:00,164.419
2024-01-05 05:00:00,198.948
2024-01-05 06:00:00,282.587
2024-01-05 07:00:00,335.153
2024-01-05 08:00:00,332.068
2024-01-05 09:00:00,288.875
2024-01-05 10:00:00,404.356
2024-01-05 11:00:00,411.953
2024-01-05 12:00:00,440.237
2024-01-05 13:00:00,361.013
2024-01-05 14:00:00,304.618
2024-01-05 15:00:00,362.181
2024-01-05 16:00:00,268.839
2024-01-05 17:00:00,310.397
2024-01-05 18:00:00,272.072
2024-01-05 19:00:00,198.092
2024-01-05 20:00:00,200.631
2024-01-05 21:00:00,121.851
2024-01-05 22:00:00,137.629
2024-01-05 23:00:00,100.926
2024-01-06 00:00:00,107.605
2024-01-06 01:00:00,112.688
2024-01-06 02:00:00,139.435
2024-01-06 03:00:00,166.667
2024-01-06 04:00:00,139.04
2024-01-06 05:00:00,165.799
2024-01-06 06:00:00,247.621
2024-01-06 07:00:00,228.774
2024-01-06 08:00:00,336.361
2024-01-06 09:00:00,351.514
2024-01-06 10:00:00,394.526
2024-01-06 11:00:00,375.452
2024-01-06 12:00:00,354.005
2024-01-06 13:00:00,453.628
2024-01-06 14:00:00,403.657
2024-01-06 15:00:00,278.216
2024-01-06 16:00:00,265.714
2024-01-06 17:00:00,296.018
2024-01-06 18:00:00,222.769
2024-01-06 19:00:00,198.01
2024-01-06 20:00:00,189.572
2024-01-06 21:00:00,131.962
2024-01-06 22:00:00,136.844
2024-01-06 23:00:00,111.363
2024-01-07 00:00:00,99.385
2024-01-07 01:00:00,89.279
2024-01-07 02:00:00,112.7
2024-01-07 03:00:00,154.873
2024-01-07 04:00:00,203.834
2024-01-07 05:00:00,170.543
2024-01-07 06:00:00,207.845
2024-01-07 07:00:00,308.206
2024-01-07 08:00:00,358.675
2024-01-07 09:00:00,289.65
2024-01-07 10:00:00,418.622
2024-01-07 11:00:00,428.57
2024-01-07 12:00:00,418.771
2024-01-07 13:00:00,359.856
2024-01-07 14:00:00,361.678
2024-01-07 15:00:00,328.139
2024-01-07 16:00:00,359.521
2024-01-07 17:00:00,261.894
2024-01-07 18:00:00,226.131
2024-01-07 19:00:00,241.407
2024-01-07 20:00:00,199.008
2024-01-07 21:00:00,166.409
2024-01-07 22:00:00,131.313
2024-01-07 23:00:00,85.429
2024-01-08 00:00:00,81.43
2024-01-08 01:00:00,104.675
2024-01-08 02:00:00,133.588
2024-01-08 03:00:00,161.674
2024-01-08 04:00:00,179.711
2024-01-08 05:00:00,243.094
2024-01-08 06:00:00,209.513
2024-01-08 07:00:00,1429.927
2024-01-08 08:00:00,295.226
2024-01-08 09:00:00,312.951
2024-01-08 10:00:00,342.099
2024-01-08 11:00:00,325.794
2024-01-08 12:00:00,370.03
2024-01-08 13:00:00,312.158
2024-01-08 14:00:00,375.473
2024-01-08 15:00:00,408.497
2024-01-08 16:00:00,309.482
2024-01-08 17:00:00,295.17
2024-01-08 18:00:00,254.292
2024-01-08 19:00:00,241.249
2024-01-08 20:00:00,186.368
2024-01-08 21:00:00,158.345
2024-01-08 22:00:00,109.251
2024-01-08 23:00:00,119.018
2024-01-09 00:00:00,85.103
2024-01-09 01:00:00,98.572
2024-01-09 02:00:00,128.034
2024-01-09 03:00:00,130.802
2024-01-09 04:00:00,196.701
2024-01-09 05:00:00,235.268
2024-01-09 06:00:00,210.801
2024-01-09 07:00:00,250.919
2024-01-09 08:00:00,259.779
2024-01-09 09:00:00,396.418
2024-01-09 10:00:00,346.096
2024-01-09 11:00:00,368.056
2024-01-09 12:00:00,353.677
2024-01-09 13:00:00,326.53
2024-01-09 14:00:00,363.512
2024-01-09 15:00:00,309.888
2024-01-09 16:00:00,324.421
2024-01-09 17:00:00,247.771
2024-01-09 18:00:00,244.515
2024-01-09 19:00:00,242.479
2024-01-09 20:00:00,161.649
2024-01-09 21:00:00,165.599
2024-01-09 22:00:00,96.218
2024-01-09 23:00:00,104.337
2024-01-10 00:00:00,101.249
2024-01-10 01:00:00,121.241
2024-01-10 02:00:00,136.815
2024-01-10 03:00:00,140.749
2024-01-10 04:00:00,188.069
2024-01-10 05:00:00,244.747
2024-01-10 06:00:00,266.432
2024-01-10 07:00:00,332.267
2024-01-10 08:00:00,371.979
2024-01-10 09:00:00,344.146
2024-01-10 10:00:00,393.54
2024-01-10 11:00:00,335.238
2024-01-10 12:00:00,379.639
2024-01-10 13:00:00,440.779
2024-01-10 14:00:00,381.31
2024-01-10 15:00:00,316.091
2024-01-10 16:00:00,268.684
2024-01-10 17:00:00,251.043
2024-01-10 18:00:00,206.894
2024-01-10 19:00:00,183.712
2024-01-10 20:00:00,162.45
2024-01-10 21:00:00,114.515
2024-01-10 22:00:00,132.77
2024-01-10 23:00:00,98.401
2024-01-11 00:00:00,99.986
2024-01-11 01:00:00,107.911
2024-01-11 02:00:00,99.756
2024-01-11 03:00:00,116.746
2024-01-11 04:00:00,146.976
2024-01-11 05:00:00,245.596
